WIP,NLP_D,metric,mean,std,cv,scv,theory_cv,theory_scv,metric_label
1.000000,"
General description of the system:

3 Stations in one line, AGVs connecting them
Station1 : 3 stations, Processing Time / Distribution: Normal, mu20sec, sigma5sec, lowerbound 0sec upperbound 45sec
Station2: 2 stations, Processing Time / Distribution: Negexp., 2min20sec for beta
Station3: 3 stations, Processing Time / Distribution: Uniform, lowerbound 10sec upperbound 35sec

There are Buffers between the stations:
Buffer1 between Parallelstation1 and the AGV transport
ArrivalBuffer2 between the AGV transport and Parallelstation2
Buffer2 between Parallelstation2 and the AGV transport
ArrivalBuffer3 between the AGV transport and Parallelstation3

One AGV Pool with 5 AGVs, the pool managing the transportation system between the stations
This is the Capacity of Buffer1: 1 MUs
This is the Capacity of ArrivalBuffer2: 3 MUs
This is the Capacity of Buffer2: 2 MUs
This is the Capacity of ArrivalBuffer3: 1 MUs

This is the availability of Workstation1: 76.99999999999999%
This is the availability of Workstation2: 85.0%
This is the availability of Workstation3: 78.00000000000001%

Number of AGVs in operation: 1
",CT_WS1,0.044802,0.001459,0.032555,0.001060,0.250000,0.062500,CT_WS1_WIP=1.0_NLP=1400977d
1.000000,"
General description of the system:

3 Stations in one line, AGVs connecting them
Station1 : 3 stations, Processing Time / Distribution: Normal, mu20sec, sigma5sec, lowerbound 0sec upperbound 45sec
Station2: 2 stations, Processing Time / Distribution: Negexp., 2min20sec for beta
Station3: 3 stations, Processing Time / Distribution: Uniform, lowerbound 10sec upperbound 35sec

There are Buffers between the stations:
Buffer1 between Parallelstation1 and the AGV transport
ArrivalBuffer2 between the AGV transport and Parallelstation2
Buffer2 between Parallelstation2 and the AGV transport
ArrivalBuffer3 between the AGV transport and Parallelstation3

One AGV Pool with 5 AGVs, the pool managing the transportation system between the stations
This is the Capacity of Buffer1: 1 MUs
This is the Capacity of ArrivalBuffer2: 3 MUs
This is the Capacity of Buffer2: 2 MUs
This is the Capacity of ArrivalBuffer3: 1 MUs

This is the availability of Workstation1: 76.99999999999999%
This is the availability of Workstation2: 85.0%
This is the availability of Workstation3: 78.00000000000001%

Number of AGVs in operation: 1
",WS1,0.197963,0.033206,0.167738,0.028136,0.862074,0.743172,WS1_WIP=1.0_NLP=1400977d
1.000000,"
General description of the system:

3 Stations in one line, AGVs connecting them
Station1 : 3 stations, Processing Time / Distribution: Normal, mu20sec, sigma5sec, lowerbound 0sec upperbound 45sec
Station2: 2 stations, Processing Time / Distribution: Negexp., 2min20sec for beta
Station3: 3 stations, Processing Time / Distribution: Uniform, lowerbound 10sec upperbound 35sec

There are Buffers between the stations:
Buffer1 between Parallelstation1 and the AGV transport
ArrivalBuffer2 between the AGV transport and Parallelstation2
Buffer2 between Parallelstation2 and the AGV transport
ArrivalBuffer3 between the AGV transport and Parallelstation3

One AGV Pool with 5 AGVs, the pool managing the transportation system between the stations
This is the Capacity of Buffer1: 1 MUs
This is the Capacity of ArrivalBuffer2: 3 MUs
This is the Capacity of Buffer2: 2 MUs
This is the Capacity of ArrivalBuffer3: 1 MUs

This is the availability of Workstation1: 76.99999999999999%
This is the availability of Workstation2: 85.0%
This is the availability of Workstation3: 78.00000000000001%

Number of AGVs in operation: 1
",WS1_F,0.198970,0.034315,0.172461,0.029743,0.777044,0.603797,WS1_F_WIP=1.0_NLP=1400977d
1.000000,"
General description of the system:

3 Stations in one line, AGVs connecting them
Station1 : 3 stations, Processing Time / Distribution: Normal, mu20sec, sigma5sec, lowerbound 0sec upperbound 45sec
Station2: 2 stations, Processing Time / Distribution: Negexp., 2min20sec for beta
Station3: 3 stations, Processing Time / Distribution: Uniform, lowerbound 10sec upperbound 35sec

There are Buffers between the stations:
Buffer1 between Parallelstation1 and the AGV transport
ArrivalBuffer2 between the AGV transport and Parallelstation2
Buffer2 between Parallelstation2 and the AGV transport
ArrivalBuffer3 between the AGV transport and Parallelstation3

One AGV Pool with 5 AGVs, the pool managing the transportation system between the stations
This is the Capacity of Buffer1: 1 MUs
This is the Capacity of ArrivalBuffer2: 3 MUs
This is the Capacity of Buffer2: 2 MUs
This is the Capacity of ArrivalBuffer3: 1 MUs

This is the availability of Workstation1: 76.99999999999999%
This is the availability of Workstation2: 85.0%
This is the availability of Workstation3: 78.00000000000001%

Number of AGVs in operation: 1
",WS2,0.199608,0.035362,0.177158,0.031385,0.777044,0.603797,WS2_WIP=1.0_NLP=1400977d
1.000000,"
General description of the system:

3 Stations in one line, AGVs connecting them
Station1 : 3 stations, Processing Time / Distribution: Normal, mu20sec, sigma5sec, lowerbound 0sec upperbound 45sec
Station2: 2 stations, Processing Time / Distribution: Negexp., 2min20sec for beta
Station3: 3 stations, Processing Time / Distribution: Uniform, lowerbound 10sec upperbound 35sec

There are Buffers between the stations:
Buffer1 between Parallelstation1 and the AGV transport
ArrivalBuffer2 between the AGV transport and Parallelstation2
Buffer2 between Parallelstation2 and the AGV transport
ArrivalBuffer3 between the AGV transport and Parallelstation3

One AGV Pool with 5 AGVs, the pool managing the transportation system between the stations
This is the Capacity of Buffer1: 1 MUs
This is the Capacity of ArrivalBuffer2: 3 MUs
This is the Capacity of Buffer2: 2 MUs
This is the Capacity of ArrivalBuffer3: 1 MUs

This is the availability of Workstation1: 76.99999999999999%
This is the availability of Workstation2: 85.0%
This is the availability of Workstation3: 78.00000000000001%

Number of AGVs in operation: 1
",WS2_F,0.202441,0.033426,0.165115,0.027263,0.943427,0.890054,WS2_F_WIP=1.0_NLP=1400977d
1.000000,"
General description of the system:

3 Stations in one line, AGVs connecting them
Station1 : 3 stations, Processing Time / Distribution: Normal, mu20sec, sigma5sec, lowerbound 0sec upperbound 45sec
Station2: 2 stations, Processing Time / Distribution: Negexp., 2min20sec for beta
Station3: 3 stations, Processing Time / Distribution: Uniform, lowerbound 10sec upperbound 35sec

There are Buffers between the stations:
Buffer1 between Parallelstation1 and the AGV transport
ArrivalBuffer2 between the AGV transport and Parallelstation2
Buffer2 between Parallelstation2 and the AGV transport
ArrivalBuffer3 between the AGV transport and Parallelstation3

One AGV Pool with 5 AGVs, the pool managing the transportation system between the stations
This is the Capacity of Buffer1: 1 MUs
This is the Capacity of ArrivalBuffer2: 3 MUs
This is the Capacity of Buffer2: 2 MUs
This is the Capacity of ArrivalBuffer3: 1 MUs

This is the availability of Workstation1: 76.99999999999999%
This is the availability of Workstation2: 85.0%
This is the availability of Workstation3: 78.00000000000001%

Number of AGVs in operation: 1
",CT_WS2,0.054922,0.005310,0.096683,0.009348,1.000000,1.000000,CT_WS2_WIP=1.0_NLP=1400977d
1.000000,"
General description of the system:

3 Stations in one line, AGVs connecting them
Station1 : 3 stations, Processing Time / Distribution: Normal, mu20sec, sigma5sec, lowerbound 0sec upperbound 45sec
Station2: 2 stations, Processing Time / Distribution: Negexp., 2min20sec for beta
Station3: 3 stations, Processing Time / Distribution: Uniform, lowerbound 10sec upperbound 35sec

There are Buffers between the stations:
Buffer1 between Parallelstation1 and the AGV transport
ArrivalBuffer2 between the AGV transport and Parallelstation2
Buffer2 between Parallelstation2 and the AGV transport
ArrivalBuffer3 between the AGV transport and Parallelstation3

One AGV Pool with 5 AGVs, the pool managing the transportation system between the stations
This is the Capacity of Buffer1: 1 MUs
This is the Capacity of ArrivalBuffer2: 3 MUs
This is the Capacity of Buffer2: 2 MUs
This is the Capacity of ArrivalBuffer3: 1 MUs

This is the availability of Workstation1: 76.99999999999999%
This is the availability of Workstation2: 85.0%
This is the availability of Workstation3: 78.00000000000001%

Number of AGVs in operation: 1
",CT_WS3,0.039845,0.001596,0.040051,0.001604,0.320750,0.102881,CT_WS3_WIP=1.0_NLP=1400977d
1.000000,"
General description of the system:

3 Stations in one line, AGVs connecting them
Station1 : 3 stations, Processing Time / Distribution: Normal, mu20sec, sigma5sec, lowerbound 0sec upperbound 45sec
Station2: 2 stations, Processing Time / Distribution: Negexp., 2min20sec for beta
Station3: 3 stations, Processing Time / Distribution: Uniform, lowerbound 10sec upperbound 35sec

There are Buffers between the stations:
Buffer1 between Parallelstation1 and the AGV transport
ArrivalBuffer2 between the AGV transport and Parallelstation2
Buffer2 between Parallelstation2 and the AGV transport
ArrivalBuffer3 between the AGV transport and Parallelstation3

One AGV Pool with 5 AGVs, the pool managing the transportation system between the stations
This is the Capacity of Buffer1: 1 MUs
This is the Capacity of ArrivalBuffer2: 3 MUs
This is the Capacity of Buffer2: 2 MUs
This is the Capacity of ArrivalBuffer3: 1 MUs

This is the availability of Workstation1: 76.99999999999999%
This is the availability of Workstation2: 85.0%
This is the availability of Workstation3: 78.00000000000001%

Number of AGVs in operation: 1
",WS3,0.202942,0.034731,0.171140,0.029289,0.943427,0.890054,WS3_WIP=1.0_NLP=1400977d
1.000000,"
General description of the system:

3 Stations in one line, AGVs connecting them
Station1 : 3 stations, Processing Time / Distribution: Normal, mu20sec, sigma5sec, lowerbound 0sec upperbound 45sec
Station2: 2 stations, Processing Time / Distribution: Negexp., 2min20sec for beta
Station3: 3 stations, Processing Time / Distribution: Uniform, lowerbound 10sec upperbound 35sec

There are Buffers between the stations:
Buffer1 between Parallelstation1 and the AGV transport
ArrivalBuffer2 between the AGV transport and Parallelstation2
Buffer2 between Parallelstation2 and the AGV transport
ArrivalBuffer3 between the AGV transport and Parallelstation3

One AGV Pool with 5 AGVs, the pool managing the transportation system between the stations
This is the Capacity of Buffer1: 1 MUs
This is the Capacity of ArrivalBuffer2: 3 MUs
This is the Capacity of Buffer2: 2 MUs
This is the Capacity of ArrivalBuffer3: 1 MUs

This is the availability of Workstation1: 76.99999999999999%
This is the availability of Workstation2: 85.0%
This is the availability of Workstation3: 78.00000000000001%

Number of AGVs in operation: 1
",WS3_F,0.203716,0.039952,0.196118,0.038462,0.862074,0.743172,WS3_F_WIP=1.0_NLP=1400977d
1.000000,"
General description of the system:

3 Stations in one line, AGVs connecting them
Station1 : 3 stations, Processing Time / Distribution: Normal, mu20sec, sigma5sec, lowerbound 0sec upperbound 45sec
Station2: 2 stations, Processing Time / Distribution: Negexp., 2min20sec for beta
Station3: 3 stations, Processing Time / Distribution: Uniform, lowerbound 10sec upperbound 35sec

There are Buffers between the stations:
Buffer1 between Parallelstation1 and the AGV transport
ArrivalBuffer2 between the AGV transport and Parallelstation2
Buffer2 between Parallelstation2 and the AGV transport
ArrivalBuffer3 between the AGV transport and Parallelstation3

One AGV Pool with 5 AGVs, the pool managing the transportation system between the stations
This is the Capacity of Buffer1: 1 MUs
This is the Capacity of ArrivalBuffer2: 3 MUs
This is the Capacity of Buffer2: 2 MUs
This is the Capacity of ArrivalBuffer3: 1 MUs

This is the availability of Workstation1: 76.99999999999999%
This is the availability of Workstation2: 85.0%
This is the availability of Workstation3: 78.00000000000001%

Number of AGVs in operation: 1
",CT_P_WS1,0.046953,0.010133,0.215806,0.046572,0.250000,0.062500,CT_P_WS1_WIP=1.0_NLP=1400977d
1.000000,"
General description of the system:

3 Stations in one line, AGVs connecting them
Station1 : 3 stations, Processing Time / Distribution: Normal, mu20sec, sigma5sec, lowerbound 0sec upperbound 45sec
Station2: 2 stations, Processing Time / Distribution: Negexp., 2min20sec for beta
Station3: 3 stations, Processing Time / Distribution: Uniform, lowerbound 10sec upperbound 35sec

There are Buffers between the stations:
Buffer1 between Parallelstation1 and the AGV transport
ArrivalBuffer2 between the AGV transport and Parallelstation2
Buffer2 between Parallelstation2 and the AGV transport
ArrivalBuffer3 between the AGV transport and Parallelstation3

One AGV Pool with 5 AGVs, the pool managing the transportation system between the stations
This is the Capacity of Buffer1: 1 MUs
This is the Capacity of ArrivalBuffer2: 3 MUs
This is the Capacity of Buffer2: 2 MUs
This is the Capacity of ArrivalBuffer3: 1 MUs

This is the availability of Workstation1: 76.99999999999999%
This is the availability of Workstation2: 85.0%
This is the availability of Workstation3: 78.00000000000001%

Number of AGVs in operation: 1
",CT_P_WS2,0.056198,0.031081,0.553057,0.305873,1.000000,1.000000,CT_P_WS2_WIP=1.0_NLP=1400977d
1.000000,"
General description of the system:

3 Stations in one line, AGVs connecting them
Station1 : 3 stations, Processing Time / Distribution: Normal, mu20sec, sigma5sec, lowerbound 0sec upperbound 45sec
Station2: 2 stations, Processing Time / Distribution: Negexp., 2min20sec for beta
Station3: 3 stations, Processing Time / Distribution: Uniform, lowerbound 10sec upperbound 35sec

There are Buffers between the stations:
Buffer1 between Parallelstation1 and the AGV transport
ArrivalBuffer2 between the AGV transport and Parallelstation2
Buffer2 between Parallelstation2 and the AGV transport
ArrivalBuffer3 between the AGV transport and Parallelstation3

One AGV Pool with 5 AGVs, the pool managing the transportation system between the stations
This is the Capacity of Buffer1: 1 MUs
This is the Capacity of ArrivalBuffer2: 3 MUs
This is the Capacity of Buffer2: 2 MUs
This is the Capacity of ArrivalBuffer3: 1 MUs

This is the availability of Workstation1: 76.99999999999999%
This is the availability of Workstation2: 85.0%
This is the availability of Workstation3: 78.00000000000001%

Number of AGVs in operation: 1
",CT_P_WS3,0.040604,0.011199,0.275805,0.076068,0.320750,0.102881,CT_P_WS3_WIP=1.0_NLP=1400977d
1.000000,"
General description of the system:

3 Stations in one line, AGVs connecting them
Station1 : 3 stations, Processing Time / Distribution: Normal, mu20sec, sigma5sec, lowerbound 0sec upperbound 45sec
Station2: 2 stations, Processing Time / Distribution: Negexp., 2min20sec for beta
Station3: 3 stations, Processing Time / Distribution: Uniform, lowerbound 10sec upperbound 35sec

There are Buffers between the stations:
Buffer1 between Parallelstation1 and the AGV transport
ArrivalBuffer2 between the AGV transport and Parallelstation2
Buffer2 between Parallelstation2 and the AGV transport
ArrivalBuffer3 between the AGV transport and Parallelstation3

One AGV Pool with 5 AGVs, the pool managing the transportation system between the stations
This is the Capacity of Buffer1: 1 MUs
This is the Capacity of ArrivalBuffer2: 3 MUs
This is the Capacity of Buffer2: 2 MUs
This is the Capacity of ArrivalBuffer3: 1 MUs

This is the availability of Workstation1: 76.99999999999999%
This is the availability of Workstation2: 85.0%
This is the availability of Workstation3: 78.00000000000001%

Number of AGVs in operation: 1
",CT_AGV1,0.031300,0.000000,0.000000,0.000000,0.000000,0.000000,CT_AGV1_WIP=1.0_NLP=1400977d
